T恤	ti4 xu4
后裔	hou4 yi4
后于	hou4 yu2
后援	hou4 yuan2
后院	hou4 yuan4
后者	hou4 zhe3
后肢	hou4 zhi1
后周	hou4 zhou1
后主	hou4 zhu3
后作	hou4 zuo4
后坐	hou4 zuo4
呼	hu1
呼喊	hu1 han3
呼号	hu1 hao2
呼和浩特	hu1 he2 hao4 te4
呼唤	hu1 huan4
呼叫	hu1 jiao4
呼救	hu1 jiu4
呼啦啦	hu1 la1 la1
呼声	hu1 sheng1
呼吸	hu1 xi1
呼吸道	hu1 xi1 dao4
呼吸困难	hu1 xi1 kun4 nan2
呼吸系统	hu1 xi1 xi4 tong3
呼啸	hu1 xiao4
呼应	hu1 ying4
呼吁	hu1 xu1
乎	hu1
忽	hu1
忽地	hu1 de5
忽而	hu1 er2
忽忽	hu1 hu1
忽略	hu1 lu:e4
忽然	hu1 ran2
忽闪	hu1 shan3
忽视	hu1 shi4
壶	hu2
葫芦	hu2 lu2
胡	hu2
胡安	hu2 an1
胡扯	hu2 che3
胡话	hu2 hua4
胡椒	hu2 jiao1
胡来	hu2 lai2
胡乱	hu2 luan4
胡萝卜	hu2 luo2 bo5
胡萝卜素	hu2 luo2 bo5 su4
胡麻	hu2 ma2
胡闹	hu2 nao4
胡琴	hu2 qin2
胡说	hu2 shuo1
胡说八道	hu2 shuo1 ba1 dao4
胡思乱想	hu2 si1 luan4 xiang3
胡桃	hu2 tao2
胡同	hu2 tong2
胡涂	hu2 tu5
胡须	hu2 xu1
胡言	hu2 yan2
胡志明	hu2 zhi4 ming2
胡志明市	hu2 zhi4 ming2 shi4
胡诌	hu2 zhou1
胡子	hu2 zi5
胡作非为	hu2 zuo4 fei1 wei2
蝴蝶	hu2 die2
狐	hu2
狐狸	hu2 li2
糊	hu1
糊	hu2
糊	hu4
糊精	hu2 jing1
糊口	hu2 kou3
糊里糊涂	hu2 li3 hu2 tu5
糊涂	hu2 tu5
湖	hu2
湖北	hu2 bei3
湖北省	hu2 bei3 sheng3
湖边	hu2 bian1
湖滨	hu2 bin1
湖泊	hu2 bo2
湖广	hu2 guang3
湖口	hu2 kou3
湖南	hu2 nan2
湖南省	hu2 nan2 sheng3
湖畔	hu2 pan4
湖田	hu2 tian2
湖心	hu2 xin1
湖州	hu2 zhou1
弧度	hu2 du4
弧光	hu2 guang1
弧光灯	hu2 guang1 deng1
弧菌	hu2 jun1
弧形	hu2 xing2
虎	hu3
虎臣	hu3 chen2
虎虎	hu3 hu3
虎将	hu3 jiang4
虎口	hu3 kou3
虎狼	hu3 lang2
虎门	hu3 men2
虎丘	hu3 qiu1
虎视眈眈	hu3 shi4 dan1 dan1
虎头蛇尾	hu3 tou2 she2 wei3
虎穴	hu3 xue2
虎子	hu3 zi5
唬	hu3
护	hu4
护兵	hu4 bing1
护短	hu4 duan3
护法	hu4 fa3
护国军	hu4 guo2 jun1
护国运动	hu4 guo2 yun4 dong4
护航	hu4 hang2
护理	hu4 li3
护理学	hu4 li3 xue2
护林	hu4 lin2
护林防火	hu4 lin2 fang2 huo3
护士	hu4 shi4
护送	hu4 song4
护卫	hu4 wei4
护卫舰	hu4 wei4 jian4
护照	hu4 zhao4
互	hu4
互补	hu4 bu3
互不干涉	hu4 bu2 gan1 she4
互不干涉内政	hu4 bu4 gan1 she4 nei4 zheng4
互不侵犯	hu4 bu2 qin1 fan4
互不侵犯条约	hu4 bu4 qin1 fan4 tiao2 yue1
互调	hu4 tiao2
互访	hu4 fang3
互感	hu4 gan3
互换	hu4 huan4
互换性	hu4 huan4 xing4
互惠	hu4 hui4
互利	hu4 li4
互派	hu4 pai4
互溶	hu4 rong2
互生	hu4 sheng1
互通	hu4 tong1
互通有无	hu4 tong1 you3 wu2
互相	hu4 xiang1
互相沟通	hu4 xiang1 gou1 tong1
互相配合	hu4 xiang1 pei4 he2
互相依赖	hu4 xiang1 yi1 lai4
互助	hu4 zhu4
互助条约	hu4 zhu4 tiao2 yue1
互助组	hu4 zhu4 zu3
沪剧	hu4 ju4
户	hu4
户部	hu4 bu4
户籍	hu4 ji2
户口	hu4 kou3
户口名簿	hu4 kou3 ming2 bu4
户内	hu4 nei4
户头	hu4 tou2
户外	hu4 wai4
户主	hu4 zhu3
花	hua1
花白	hua1 bai2
花瓣	hua1 ban4
花苞	hua1 bao1
花被	hua1 bei4
花边	hua1 bian1
花布	hua1 bu4
花菜	hua1 cai4
花草	hua1 cao3
花茶	hua1 cha2
花厂	hua1 chang3
花刺子模	hua1 ci4 zi3 mu2
花灯	hua1 deng1
花店	hua1 dian4
花朵	hua1 duo3
花儿	hua1 er2
花费	hua1 fei4
花粉	hua1 fen3
花粉管	hua1 fen3 guan3
花岗石	hua1 gang3 shi2
花岗岩	hua1 gang3 yan2
花鼓	hua1 gu3
花冠	hua1 guan4
花红	hua1 hong2
花花	hua1 hua1
花花绿绿	hua1 hua1 lu:4 lu:4
花环	hua1 huan2
花卉	hua1 hui4
花会	hua1 hui4
花甲	hua1 jia3
花键	hua1 jian4
花键轴	hua1 jian4 zhou2
花剑	hua1 jian4
花椒	hua1 jiao1
花轿	hua1 jiao4
花篮	hua1 lan2
花蕾	hua1 lei3
花梨木	hua1 li2 mu4
花脸	hua1 lian3
花蜜	hua1 mi4
花木	hua1 mu4
花木兰	hua1 mu4 lan2
花呢	hua1 ni2
花娘	hua1 niang2
花鸟	hua1 niao3
花炮	hua1 pao4
花盆	hua1 pen2
花瓶	hua1 ping2
花期	hua1 qi1
花旗	hua1 qi2
花青	hua1 qing1
花青素	hua1 qing1 su4
花圈	hua1 quan1
花蕊	hua1 rui3
花色	hua1 se4
花色品	hua1 se4 pin3
花纱	hua1 sha1
花扇	hua1 shan4
花生	hua1 sheng1
花生饼	hua1 sheng1 bing3
花生米	hua1 sheng1 mi3
花生油	hua1 sheng1 you2
花市	hua1 shi4
花市场	hua1 shi4 chang3
花束	hua1 shu4
花丝	hua1 si1
花台布	hua1 tai2 bu4
花坛	hua1 tan2
花筒	hua1 tong3
花团锦簇	hua1 tuan2 jin3 cu4
花纹	hua1 wen2
花县	hua1 xian4
花香	hua1 xiang1
花序	hua1 xu4
花絮	hua1 xu4
花芽	hua1 ya2
花芽分化	hua1 ya2 fen1 hua4
花样	hua1 yang4
花样滑冰	hua1 yang4 hua2 bing1
花样子	hua1 yang4 zi5
花药	hua1 yao4
花衣	hua1 yi1
花衣服	hua1 yi1 fu2
花园	hua1 yuan2
花园儿	hua1 yuan2 er2
花园式	hua1 yuan2 shi4
花月痕	hua1 yue4 hen2
花展	hua1 zhan3
花招	hua1 zhao1
花轴	hua1 zhou2
花柱	hua1 zhu4
花子	hua1 zi5
花萼	hua1 e4
哗	hua1
哗	hua2
哗变	hua2 bian4
哗啦	hua1 la1
哗啦啦	hua1 la1 la1
哗然	hua2 ran2
华	hua2
华	hua4
华北	hua2 bei3
华北平原	hua2 bei3 ping2 yuan2
华兵	hua2 bing1
华达呢	hua4 da2 ni2
华灯	hua2 deng1
华东	hua2 dong1
华东理工大学	hua2 dong1 li3 gong1 da4 xue2
华而不实	hua2 er2 bu4 shi2
华尔街	hua2 er3 jie1
华里	hua2 li3
华丽	hua2 li4
华美	hua2 mei3
华南	hua2 nan2
华南理工大学	hua2 nan2 li3 gong1 da4 xue2
华能	hua2 neng2
华侨	hua2 qiao2
华秋	hua2 qiu1
华人	hua2 ren2
华人文化	hua2 ren2 wen2 hua4
华沙	hua2 sha1
华沙条约	hua2 sha1 tiao2 yue1
华山	hua4 shan1
华商	hua2 shang1
华盛顿	hua2 sheng4 dun4
华氏	hua2 shi4
华文	hua2 wen2
华文报	hua2 wen2 bao4
华西	hua4 xi1
华夏	hua1 xia4
华兴	hua2 xing1
华兴会	hua2 xing1 hui4
华阳国志	hua2 yang2 guo2 zhi4
华裔	hua2 yi4
华约	hua2 yue1
华中	hua2 zhong1
华中理工大学	hua2 zhong1 li3 gong1 da4 xue2
华佗	hua2 tuo2
猾	hua2
滑	hua2
滑板	hua2 ban3
滑冰	hua2 bing1
滑冰场	hua2 bing1 chang3
滑车	hua2 che1
滑道	hua2 dao4
滑动	hua2 dong4
滑动摩擦	hua2 dong4 mo2 ca1
滑动轴承	hua2 dong4 zhou2 cheng2
滑阀	hua2 fa2
滑环	hua2 huan2
滑稽	hua2 ji1
滑轮	hua2 lun2
滑轮组	hua2 lun2 zu3
滑坡	hua2 po1
滑润	hua2 run4
滑石	hua2 shi2
滑县	hua2 xian4
滑翔	hua2 xiang2
滑行	hua2 xing2
滑行道	hua2 xing2 dao4
滑雪	hua2 xue3
滑雪板	hua2 xue3 ban3
滑雪衫	hua2 xue3 shan1
滑移	hua2 yi2
滑音	hua2 yin1
画	hua4
画报	hua4 bao4
画报社	hua4 bao4 she4
画笔	hua4 bi3
画布	hua4 bu4
画册	hua4 ce4
画儿	hua4 er2
画法	hua4 fa3
画幅	hua4 fu2
画稿	hua4 gao3
画画	hua4 hua4
画家	hua4 jia1
画架	hua4 jia4
画卷	hua4 juan4
画廊	hua4 lang2
画眉	hua4 mei2
画面	hua4 mian4
画皮	hua4 pi2
画片	hua4 pian4
画师	hua4 shi1
画室	hua4 shi4
画坛	hua4 tan2
画图	hua4 tu2
画外音	hua4 wai4 yin1
画像	hua4 xiang4
画展	hua4 zhan3
划	hua2
划	hua4
划拨	hua4 bo1
划船	hua2 chuan2
划定	hua4 ding4
划分	hua4 fen1
划归	hua4 gui1
划划	hua2 hua2
划破	hua2 po4
划清	hua4 qing1
划入	hua4 ru4
划时代	hua4 shi2 dai4
划水	hua2 shui3
划算	hua2 suan4
划艇	hua2 ting3
划线	hua4 xian4
划一	hua4 yi1
化	hua1
化	hua4
化成	hua4 cheng2
化肥	hua4 fei2
化费	hua1 fei4
化工	hua4 gong1
化工部	hua4 gong1 bu4
化工厂	hua4 gong1 chang3
化合	hua4 he2
化合价	hua4 he2 jia4
化合物	hua4 he2 wu4
化脓	hua4 nong2
化身	hua4 shen1
化生	hua4 sheng1
化石	hua4 shi2
化铁炉	hua4 tie3 lu2
化为灰烬	hua4 wei2 hui1 jin4
化为泡影	hua4 wei2 pao4 ying3
化为乌有	hua4 wei2 wu1 you3
化纤	hua4 xian1
化险为夷	hua4 xian3 wei2 yi2
化学	hua4 xue2
化学变化	hua4 xue2 bian4 hua4
化学反应	hua4 xue2 fan3 ying4
化学反应速度	hua4 xue2 fan3 ying4 su4 du4
化学方程式	hua1 xue2 fang1 cheng2 shi4
化学肥料	hua1 xue2 fei2 liao4
化学分析	hua4 xue2 fen1 xi1
化学工业	hua4 xue2 gong1 ye4
化学合成	hua4 xue2 he2 cheng2
化学键	hua4 xue2 jian4
化学能	hua4 xue2 neng2
化学平衡	hua4 xue2 ping2 heng2
化学武器	hua4 xue2 wu3 qi4
化学纤维	hua4 xue2 xian1 wei2
化学性质	hua4 xue2 xing4 zhi4
化学元素	hua4 xue2 yuan2 su4
化验	hua4 yan4
化油器	hua4 you2 qi4
化装	hua4 zhuang1
化装用纸	hua4 zhuang1 yong4 zhi3
化妆	hua4 zhuang1
化妆品	hua4 zhuang1 pin3
话	hua4
话本	hua4 ben3
话别	hua4 bie2
话剧	hua4 ju4
话说	hua4 shuo1
话题	hua4 ti2
话筒	hua4 tong3
话头	hua4 tou2
话匣子	hua4 xia2 zi5
话音	hua4 yin1
话语	hua4 yu3
槐树	huai2 shu4
怀	huai2
怀抱	huai2 bao4
怀表	huai2 biao3
怀德	huai2 de2
怀俄明	hai2 e2 ming2
怀古	huai2 gu3
怀恨	huai2 hen4
怀旧	huai2 jiu4
怀念	huai2 nian4
怀宁	huai2 ning2
怀仁堂	huai2 ren2 tang2
怀柔	huai2 rou2
怀胎	huai2 tai1
怀疑	huai2 yi2
怀疑论	huai2 yi2 lun4
怀远	huai2 yuan3
怀孕	huai2 yun4
淮安	huai2 an1
淮北	huai2 bei3
淮海	huai2 hai3
淮剧	huai2 ju4
淮南	huai2 nan2
淮阳	huai2 yang2
淮阴	huai2 yin1
坏	huai4
坏处	huai4 chu4
坏蛋	huai4 dan4
坏分子	huai4 fen1 zi3
坏话	huai4 hua4
坏人	huai4 ren2
坏死	huai4 si3
坏消息	huai4 xiao1 xi1
欢	huan1
欢畅	huan1 chang4
欢度	huan1 du4
欢呼	huan1 hu1
欢呼声	huan1 hu1 sheng1
欢聚	huan1 ju4
欢快	huan1 kuai4
欢乐	huan1 le4
欢声	huan1 sheng1
欢声雷动	huan1 sheng1 lei2 dong4
欢送	huan1 song4
欢腾	huan1 teng2
欢天喜地	huan1 tian1 xi3 di4
欢喜	huan1 xi3
欢笑	huan1 xiao4
欢欣	huan1 xin1
欢欣鼓舞	huan1 xin1 gu3 wu3
欢心	huan1 xin1
欢宴	huan1 yan4
欢迎	huan1 ying2
欢迎词	huan1 ying2 ci2
欢迎光临	huan1 ying2 guang1 lin2
欢迎仪式	huan1 ying2 yi2 shi4
欢悦	huan1 yue4
环	huan2
环保	huan2 bao3
环抱	huan2 bao4
环城	huan2 cheng2
环带	huan2 dai4
环顾	huan2 gu4
环节	huan2 jie2
环境	huan2 jing4
环境保护	huan2 jing4 bao3 hu4
环境保护法	huan2 jing4 bao3 hu4 fa3
环境地质	huan2 jing4 di4 zhi4
环境卫生	huan2 jing4 wei4 sheng1
环境污染	huan2 jing4 wu1 ran3
环流	huan2 liu2
环流器	huan2 liu2 qi4
环球	huan2 qiu2
环绕	huan2 rao3
环视	huan2 shi4
环烷	huan2 wan2
环烷基	huan2 wan2 ji1
环烷烃	huan2 wan2 ting1
环形	huan2 xing2
环行	huan2 xing2
环氧树脂	huan2 yang3 shu4 zhi1
环氧乙烷	huan2 yang3 yi3 wan2
桓	huan2
桓玄	huan2 xuan2
还	hai2
还	huan2
还本	huan2 ben3
还好	hai2 hao3
还好了	hai2 hao3 le5
还击	huan2 ji1
还可以	hai2 ke3 yi3
还清	huan2 qing1
还是	hai2 shi4
还手	huan2 shou3
还乡	huan2 xiang1
还乡团	huan2 xiang1 tuan2
还行	hai2 xing2
还有	hai2 you3
还原	huan2 yuan2
还原剂	huan2 yuan2 ji4
还原染料	huan2 yuan2 ran3 liao4
还原熔炼	huan2 yuan2 rong2 lian4
还愿	huan2 yuan4
还债	huan2 zhai4
还债务	huan2 zhai4 wu4
缓	huan3
缓办	huan3 ban4
缓冲	huan3 chong1
缓冲地带	huan3 chong1 di4 dai4
缓冲器	huan3 chong1 qi4
缓冲溶液	huan3 chong1 rong2 ye4
缓和	huan3 huo2
缓急	huan3 ji2
缓减	huan3 jian3
缓解	huan3 jie3
缓流	huan3 liu2
缓慢	huan3 man4
缓坡	huan3 po1
缓期	huan3 qi1
缓刑	huan3 xing2
换	huan4
换班	huan4 ban1
换茬	huan4 cha2
换防	huan4 fang2
换工	huan4 gong1
换货	huan4 huo4
换句话说	huan4 ju4 hua4 shuo1
换来换去	huan4 lai2 huan4 qu4
换流	huan4 liu2
换气	huan4 qi4
换取	huan4 qu3
换热器	huan4 re4 qi4
换人	huan4 ren2
换上	huan4 shang4
换算	huan4 suan4
换文	huan4 wen2
换向	huan4 xiang4
换向器	huan4 xiang4 qi4
换新	huan4 xin1
换言之	huan4 yan2 zhi1
换一换	huan4 yi2 huan4
换羽	huan4 yu3
患	huan4
患病	huan4 bing4
患难	huan4 nan2
患难与共	huan4 nan4 yu3 gong4
患难之交	huan4 nan4 zhi1 jiao1
患者	huan4 zhe3
唤	huan4
唤起	huan4 qi3
唤醒	huan4 xing3
豢养	huan4 yang3
焕	huan4
焕发	huan4 fa1
焕发出	huan4 fa1 chu1
焕利	huan4 li4
焕平	huan4 ping2
焕勤	huan4 qin2
焕然一新	huan4 ran2 yi4 xin1
焕友	huan4 you3
焕娣	huan4 di4
涣散	huan4 san4
宦官	huan4 guan1
幻	huan4
幻灯	huan4 deng1
幻灯片	huan4 deng1 pian4
幻觉	huan4 jue2
幻灭	huan4 mie4
幻想	huan4 xiang3
幻象	huan4 xiang4
幻影	huan4 ying3
荒	huang1
荒诞	huang1 dan4
荒地	huang1 di4
荒废	huang1 fei4
荒郊	huang1 jiao1
荒凉	huang1 liang2
荒谬	huang1 miu4
荒谬绝伦	huang1 miu4 jue2 lun2
荒漠	huang1 mo4
荒年	huang1 nian2
荒山	huang1 shan1
荒唐	huang1 tang2
荒芜	huang1 wu2
荒野	huang1 ye3
荒淫	huang1 yin2
荒淫无耻	huang1 yin2 wu2 chi3
荒原	huang1 yuan2
慌	huang1
慌乱	huang1 luan4
慌忙	huang1 mang2
慌张	huang1 zhang1
慌张张	huang1 zhang1 zhang1
黄	huang2
黄白	huang2 bai2
黄斑	huang2 ban1
黄堡	huang2 bao3
黄巢	huang2 chao2
黄道	huang2 dao4
黄道婆	huang2 dao4 po2
黄灯	huang2 deng1
黄帝	huang2 di4
黄帝陵	huang2 di4 ling2
黄豆	huang2 dou4
黄蜂	huang2 feng1
黄冈	huang2 gang1
黄岗	huang2 gang3
黄瓜	huang2 gua1
黄海	huang2 hai3
黄河	huang2 he2
黄河故道	huang2 he2 gu4 dao4
黄褐色	huang2 he4 se4
黄鹤楼	huang2 he4 lou2
黄花	huang2 hua1
黄花岗	huang2 hua1 gang3
黄花鱼	huang2 hua1 yu2
黄昏	huang2 hun1
黄金	huang2 jin1
黄金地带	huang2 jin1 di4 dai4
黄金海岸	huang2 jin1 hai3 an4
黄金时代	huang2 jin1 shi2 dai4
黄金条	huang2 jin1 tiao2
黄酒	huang2 jiu3
黄蜡	huang2 la4
黄历	huang2 li5
黄连	huang2 lian2
黄陵	huang2 ling2
黄龙	huang2 long2
黄麻	huang2 ma2
黄梅	huang2 mei2
黄牛	huang2 niu2
黄埔	huang2 pu3
黄浦	huang2 pu3
黄浦江	huang2 pu3 jiang1
黄桥	huang2 qiao2
黄壤	huang2 rang3
黄色	huang2 se4
黄色工会	huang2 se4 gong1 hui4
黄沙	huang2 sha1
黄山	huang2 shan1
黄石	huang2 shi2
黄鼠狼	huang2 shu3 lang2
黄体	huang2 ti3
黄铁矿	huang2 tie3 kuang4
黄铜	huang2 tong2
黄铜矿	huang2 tong2 kuang4
黄土	huang2 tu3
黄土地	huang2 tu3 di4
黄土高原	huang2 tu3 gao1 yuan2
黄县	huang2 xian4
黄兴	huang2 xing1
黄岩	huang2 yan2
黄杨	huang2 yang2
黄衣	huang2 yi1
黄油	huang2 you2
黄鱼	huang2 yu2
黄钟	huang2 zhong1
黄州	huang2 zhou1
磺胺	huang2 an4
磺胺噻唑	huang2 an4 sai1 zuo4
磺化	huang2 hua4
磺酸	huang2 suan1
蝗虫	huang2 chong2
皇	huang2
皇朝	huang2 chao2
皇帝	huang2 di4
皇甫嵩	huang2 fu3 song1
皇宫	huang2 gong1
皇冠	huang2 guan1
皇后	huang2 hou4
皇家	huang2 jia1
皇家学会	huang2 jia1 xue2 hui4
皇家学院	huang2 jia1 xue2 yuan4
皇家银行	huang2 jia1 yin2 hang2
皇家园林	huang2 jia1 yuan2 lin2
皇权	huang2 quan2
皇上	huang2 shang5
皇室	huang2 shi4
皇太后	huang2 tai4 hou4
皇太子	huang2 tai4 zi3
皇天	huang2 tian1
皇庄	huang2 zhuang1
皇族	huang2 zu2
皇族内阁	huang2 zu2 nei4 ge2
惶惶	huang2 huang2
惶惑	huang2 huo4
惶恐	huang2 kong3
煌	huang2
晃	huang3
晃	huang4
晃荡	huang4 dang4
晃动	huang4 dong4
晃晃	huang3 huang3
晃来晃去	huang4 lai2 huang4 qu4
晃一晃	huang3 yi1 huang3
晃一晃	huang4 yi2 huang4
幌子	huang3 zi5
恍	huang3
恍然	huang3 ran2
恍然大悟	huang3 ran2 da4 wu4
恍惚	huang3 hu1
谎	huang3
谎报	huang3 bao4
谎话	huang3 hua4
谎言	huang3 yan2
灰	hui1
灰暗	hui1 an4
灰白	hui1 bai2
灰尘	hui1 chen2
灰分	hui1 fen4
灰黑	hui1 hei1
灰浆	hui1 jiang4
灰烬	hui1 jin4
灰口铁	hui1 kou3 tie3
灰溜溜	hui1 liu1 liu1
灰色	hui1 se4
灰土	hui1 tu3
灰雾	hui1 wu4
灰心	hui1 xin1
灰心丧气	hui1 xin1 sang4 qi4
灰铸铁	hui1 zhu4 tie3
挥	hui1
挥动	hui1 dong4
挥发	hui1 fa1
挥发物	hui1 fa1 wu4
挥发油	hui1 fa1 you2
挥戈	hui1 ge1
挥汗如雨	hui1 han4 ru2 yu3
挥毫	hui1 hao2
挥霍	hui1 huo4
挥手	hui1 shou3
挥舞	hui1 wu3
辉	hui1
辉光	hui1 guang1
辉煌	hui1 huang2
辉石	hui1 shi2
辉县	hui1 xian4
辉映	hui1 ying4
徽	hui1
徽章	hui1 zhang1
恢复	hui1 fu4
恢复本色	hui1 fu4 ben3 se4
恢复谈判	hui1 fu4 tan2 pan4
恢复原状	hui1 fu4 yuan2 zhuang4
蛔虫	hui2 chong2
回	hui2
回报	hui2 bao4
回避	hui2 bi4
回波	hui2 bo1
回不去	hui2 bu2 qu4
回采	hui2 cai3
回肠	hui2 chang2
回肠荡气	hui2 chang2 dang4 qi4
回潮	hui2 chao2
回潮率	hui2 chao2 lu:4
回程	hui2 cheng2
回春	hui2 chun1
回答	hui2 da2
回荡	hui2 dang4
回到	hui2 dao4
回电	hui2 dian4
回动	hui2 dong4
回儿	hui2 er2
回访	hui2 fang3
回风	hui2 feng1
回复	hui2 fu4
回顾	hui2 gu4
回归	hui2 gui1
回归人员	hui2 gui1 ren2 yuan2
回锅肉	hui2 guo1 rou4
回国	hui2 guo2
回合	hui2 he2
回话	hui2 hua4
回环	hui2 huan2
回回	hui2 hui2
回火	hui2 huo3
回击	hui2 ji1
回家	hui2 jia1
回见	hui2 jian4
回交	hui2 jiao1
回教	hui2 jiao4
回敬	hui2 jing4
回绝	hui2 jue2
回扣	hui2 kou4
回来	hui2 lai2
回老家	hui2 lao3 jia1
回流	hui2 liu2
回笼	hui2 long2
回炉	hui2 lu2
回路	hui2 lu4
回落	hui2 luo4
回民	hui2 min2
回请	hui2 qing3
回去	hui2 qu4
回声	hui2 sheng1
回升	hui2 sheng1
回师	hui2 shi1
回事儿	hui2 shi4 er2
回收	hui2 shou1
回收率	hui2 shou1 lu:4
回手	hui2 shou3
回首	hui2 shou3
回赎	hui2 shu2
回水	hui2 shui3
回丝	hui2 si1
回填	hui2 tian2
回头	hui2 tou2
回头路	hui2 tou2 lu4
回头一看	hui2 tou2 yi2 kan4
回味	hui2 wei4
回乡	hui2 xiang1
回想	hui2 xiang3
回响	hui2 xiang3
回心转意	hui2 xin1 zhuan3 yi4
回信	hui2 xin4
回信号	hui2 xin4 hao4
回旋	hui2 xuan2
回旋加速器	hui2 xuan2 jia1 su4 qi4
回忆	hui2 yi4
回忆录	hui2 yi4 lu4
回音	hui2 yin1
回应	hui2 ying4
回游	hui2 you2
回转	hui2 zhuan3
回转半径	hui2 zhuan3 ban4 jing4
回族	hui2 zu2
毁	hui3
毁坏	hui3 huai4
毁灭	hui3 mie4
毁弃	hui3 qi4
毁损	hui3 sun3
毁誉	hui3 yu4
悔	hui3
悔改	hui3 gai3
悔过	hui3 guo4
悔恨	hui3 hen4
悔悟	hui3 wu4
慧	hui4
慧慧	hui4 hui4
慧军	hui4 jun1
慧兰	hui4 lan2
慧眼	hui4 yan3
慧远	hui4 yuan3
慧珍	hui4 zhen1
慧珠	hui4 zhu1
卉	hui4
惠	hui4
惠飞	hui4 fei1
惠更斯	hui4 geng1 si1
惠娟	hui4 juan1
惠兰	hui4 lan2
惠灵顿	hui4 ling2 dun4
惠民	hui4 min2
惠普	hui4 pu3
惠施	hui4 shi1
惠阳	hui4 yang2
惠英	hui4 ying1
惠珍	hui4 zhen1
惠州	hui4 zhou1
惠滋	hui4 zi1
晦	hui4
晦暗	hui4 an4
晦气	hui4 qi4
贿	hui4
贿赂	hui4 lu4
秽	hui4
会	hui4
会办	hui4 ban4
会场	hui4 chang3
会长	hui4 zhang3
会儿	hui4 er2
会费	hui4 fei4
会馆	hui4 guan3
会合	hui4 he2
会话	hui4 hua4
会集	hui4 ji2
会计	kuai4 ji4
会计报表	kuai4 ji4 bao4 biao3
会计分录	kuai4 ji4 fen1 lu4
会计核算	kuai4 ji4 he2 suan4
会计科	huai4 ji4 ke1
会计凭证	kuai4 ji4 ping2 zheng4
会计师	kuai4 ji4 shi1
会计师事务所	kuai4 ji4 shi1 shi4 wu4 suo3
会计学	kuai4 ji4 xue2
会计制度	kuai4 ji4 zhi4 du4
会见	hui4 jian4
会聚	hui4 ju4
会刊	hui4 kan1
会客	hui4 ke4
会客厅	hui4 ke4 ting1
会理	hui4 li3
会面	hui4 mian4
会期	hui4 qi1
会商	hui4 shang1
会审	hui4 shen3
会师	hui4 shi1
会试	hui4 shi4
会谈	hui4 tan2
会堂	hui4 tang2
会通	hui4 tong1
会同	hui4 tong2
会晤	hui4 wu4
会心	hui4 xin1
会演	hui4 yan3
会意	hui4 yi4
会议	hui4 yi4
会议室	hui4 yi4 shi4
会阴	hui4 yin1
会员	hui4 yuan2
会员国	hui4 yun2 guo2
会员资格	hui4 yuan2 zi1 ge2
会战	hui4 zhan4
会诊	hui4 zhen3
烩	hui4
汇	hui4
汇报	hui4 bao4
汇报表演赛	hui4 bao4 biao3 yan3 sai4
汇编	hui4 bian1
汇编语言	hui4 bian1 yu3 yan2
汇兑	hui4 dui4
汇丰银行	hui4 feng1 yin2 hang2
汇合	hui4 he2
汇集	hui4 ji2
汇集成	hui4 ji2 cheng2
汇聚	hui4 ju4
汇款	hui4 kuan3
汇流	hui4 liu2
汇率	hui4 lu:4
汇票	hui4 piao4
汇入	hui4 ru4
汇水	hui4 shui3
汇总	hui4 zong3
汇总成	hui4 zong3 cheng2
汇总额	hui4 zong3 e2
讳	hui4
讳言	hui4 yan2
诲	hui4
绘	hui4
绘画	hui4 hua4
绘画展	hui4 hua4 zhan3
绘画展览	hui4 hua4 zhan3 lan3
绘声绘色	hui4 sheng1 hui4 se4
绘图	hui4 tu2
绘制	hui4 zhi4
荤	hun1
昏	hun1
昏暗	hun1 an4
昏沉	hun1 chen2
昏黄	hun1 huang2
昏迷	hun1 mi2
昏庸	hun1 yong1
婚	hun1
婚礼	hun1 li3
婚配	hun1 pei4
婚期	hun1 qi1
婚事	hun1 shi4
婚姻	hun1 yin1
婚姻登记	hun1 yin1 deng1 ji4
婚姻法	hun1 yin1 fa3
婚姻制度	hun1 yin1 zhi4 du4
婚姻状况	hun1 yin1 zhuang4 kuang4
婚姻自由	hun1 yin1 zi4 you2
婚约	hun1 yue1
魂	hun2
浑	hun2
浑厚	hun2 hou4
浑然一体	hun2 ran2 yi4 ti3
浑身	hun2 shen1
浑浊	hun2 zhuo2
混	hun2
混	hun4
混成	hun4 cheng2
混蛋	hun2 dan4
混纺	hun4 fang3
混和	hun4 he2
混合	hun4 he2
混合结构	hun4 he2 jie2 gou4
混合器	hun4 he2 qi4
混合物	hun4 he2 wu4
混迹	hun4 ji1
混交林	hun4 jiao1 lin2
混进	hun4 jin4
混炼	hun4 lian4
混乱	hun4 luan4
混棉	hun4 mian2
混凝剂	hun4 ning2 ji4
混凝土	hun4 ning2 tu3
混频器	hun4 pin2 qi4
混日子	hun4 ri4 zi5
混入	hun4 ru4
混铁炉	hun4 tie3 lu2
混同	hun4 tong2
混为一谈	hun4 wei2 yi4 tan2
混响	hun4 xiang3
混淆	hun4 xiao2
混淆是非	hun4 xiao2 shi4 fei1
混淆视听	hun4 xiao2 shi4 ting1
混养	hun4 yang3
混杂	hun4 za2
混战	hun4 zhan4
混浊	hun4 zhuo2
混作	hun4 zuo4
混沌	hun4 dun4
豁	huo1
豁	huo4
豁达	huo4 da2
豁免	huo4 mian3
豁然开朗	huo4 ran2 kai1 lang3
豁子	huo1 zi5
活	huo2
活动	huo2 dong4
